xorg-xmodmap 1.0.11-1
xorg-xpr 1.2.0-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 24.1.0-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
yay-bin 12.3.5-1
yay-bin-debug 12.3.5-1
yt-dlp 2024.04.09-2
zip 3.0-11
zram-generator 1.1.2-1
zsh 5.9-5
zsh-theme-powerlevel10k-git r4281.bde5ca4c-1
